Pokemon ID,Name,Description,Japanese name,Name etymology,Image URL,Species,Height,Weight,Type 1,Type 2,Abilities,EV Yield,Catch rate,Base Exp,Growth rate,Gender male %,Gender female %,Friendship,Generation
1,Bulbasaur,"Bulbasaur is a Grass/Poison type Pokémon introduced in Generation 1. Bulbasaur is a small, mainly turquoise amphibian Pokémon with red eyes and a green bulb on its back. It is based on a frog/toad, with the bulb resembling a plant bulb that grows into a flower as it evolves. Bulbasaur is notable for being the very first Pokémon in the National Pokédex. It is one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Charmander and Squirtle.",フシギダネ (Fushigidane),bulb: a type of plant | -saur: Greek suffix meaning ‘lizard’,https://img.pokemondb.net/artwork/bulbasaur.jpg,Seed,70,690,Grass, Poison,"Overgrow, Chlorophyll",1 Sp. Atk,45,64,Medium Slow,87.5,12.5,50,1
2,Ivysaur,Ivysaur is a Grass/Poison type Pokémon introduced in Generation 1.,フシギソウ (Fushigisou),ivy: a plant | -saur: Greek suffix meaning ‘lizard’,https://img.pokemondb.net/artwork/ivysaur.jpg,Seed,100,1300,Grass, Poison,"Overgrow, Chlorophyll","1 Sp. Atk, 1 Sp. Def",45,142,Medium Slow,87.5,12.5,50,1
3,Venusaur,"Venusaur is a Grass/Poison type Pokémon introduced in Generation 1. Venusaur is a large, quadrupedal Pokémon with a turquoise body. It has small red eyes and several large ferns on its back and head. The plant bulb that was on the back of its previous evolutions, Bulbasaur and Ivysaur, has now bloomed into a large flower with large pink petals and a yellow center. The female has a seed in the center. Venusaur is inspired by toads and the horned frog. The large flower is similar to the Rafflesia arnoldii, a parasitic plant with an unpleasant odor, referencing the Pokémon's Poison type. Venusaur is notable for being the final evolution stage of one of the original starter Pokémon, along with Charizard and Blastoise. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Vine Lash.",フシギバナ (Fushigibana),"venus: from Venus Flytrap, a meat-eating plant | -saur: Greek suffix meaning ‘lizard’",https://img.pokemondb.net/artwork/venusaur.jpg,Seed,200,10000,Grass, Poison,"Overgrow, Chlorophyll","2 Sp. Atk, 1 Sp. Def",45,236,Medium Slow,87.5,12.5,50,1
4,Charmander,"Charmander is a Fire type Pokémon introduced in Generation 1. Charmander is a bipedal, reptilian Pokémon. Most of its body is colored orange, while its underbelly is light yellow and it has blue eyes. It has a flame at the end of its tail, which is said to signify its health. Charmander's design is based on a lizard, however as its name suggests it may also have been inspired by salamanders, which in mythology have an affinity with fire. Charmander is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Squirtle.",ヒトカゲ (Hitokage),char: to burn or singe | salamander: lizard-like amphibian (also a mythical fire-dwelling creature),https://img.pokemondb.net/artwork/charmander.jpg,Lizard,60,850,Fire,,"Blaze, Solar Power",1 Speed,45,62,Medium Slow,87.5,12.5,50,1
5,Charmeleon,Charmeleon is a Fire type Pokémon introduced in Generation 1.,リザード (Lizardo),char: to burn or singe | chameleon: a species of lizard,https://img.pokemondb.net/artwork/charmeleon.jpg,Flame,110,1900,Fire,,"Blaze, Solar Power","1 Sp. Atk, 1 Speed",45,142,Medium Slow,87.5,12.5,50,1
6,Charizard,"Charizard is a Fire/Flying type Pokémon introduced in Generation 1. Charizard is a large dragon-like Pokémon, mainly orange in color. It has two large wings, the underside of which are turquoise. Like Charmander and Charmeleon, it has a flame at the end of its tail. The design of Charizard appears to draw inspiration from dragons of European folklore, with its large wings, horned head, and fiery breath. Charizard is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Blastoise. Although it looks like a dragon, it doesn't have the Dragon typing. However it has two Mega Evolutions, available in Generation 6 games and Pokémon Go, one of which replaces its Flying type with Dragon. Charizard also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Wildfire.",リザードン (Lizardon),char: to burn or singe | lizard: a reptile,https://img.pokemondb.net/artwork/charizard.jpg,Flame,170,9050,Fire, Flying,"Blaze, Solar Power",3 Sp. Atk,45,267,Medium Slow,87.5,12.5,50,1
7,Squirtle,"Squirtle is a Water type Pokémon introduced in Generation 1. Squirtle is a bipedal, reptilian Pokémon. It has a blue body with purple eyes, a light brown belly, and a tough red-brown shell on its back. It has a long tail that curls into a spiral. Squirtle is primarily based on a turtle, taking inspiration from both land-dwelling and sea-dwelling varieties. The curly tail resembles a crashing wave. Squirtle is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Charmander.",ゼニガメ (Zenigame),squirt: to shoot water | turtle: water-based reptile,https://img.pokemondb.net/artwork/squirtle.jpg,Tiny Turtle,50,900,Water,,"Torrent, Rain Dish",1 Defense,45,63,Medium Slow,87.5,12.5,50,1
8,Wartortle,Wartortle is a Water type Pokémon introduced in Generation 1.,カメール (Kameil),war: epic battle | tortoise: large reptile with a protective shell | turtle: water-based reptile,https://img.pokemondb.net/artwork/wartortle.jpg,Turtle,100,2250,Water,,"Torrent, Rain Dish","1 Defense, 1 Sp. Def",45,142,Medium Slow,87.5,12.5,50,1
9,Blastoise,"Blastoise is a Water type Pokémon introduced in Generation 1. Blastoise is a large, bipedal, reptilian Pokémon. It has a blue body with small purple eyes, a light brown belly, and a stubby tail. It has a large brown shell with two powerful water cannons on either side, which can be withdrawn. Blastoise's design is heavily influenced by turtles and tortoises. The cannons likely draw inspiration from the concept of a mobile tank or battleship. Blastoise is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Charizard. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Cannonade.",カメックス (Kamex),blast: an explosion | tortoise: large reptile with a protective shell,https://img.pokemondb.net/artwork/blastoise.jpg,Shellfish,160,8550,Water,,"Torrent, Rain Dish",3 Sp. Def,45,239,Medium Slow,87.5,12.5,50,1
10,Caterpie,Caterpie is a Bug type Pokémon introduced in Generation 1.,キャタピー (Caterpie),caterpillar: a species of insect,https://img.pokemondb.net/artwork/caterpie.jpg,Worm,30,290,Bug,,"Shield Dust, Run Away",1 HP,255,39,Medium Fast,50,50,50,1
